No;Title;Year;Genre;Origin;Director;Star;IMDB link
1;The Shawshank Redemption;1994;Drama;USA;Frank Darabont;Tim Robbins;https://www.imdb.com/title/tt0111161
2;The Godfather;1972;Drama;USA;Francis Ford Coppola;Marlon Brando;https://www.imdb.com/title/tt0068646
3;The Godfather: Part II;1974;Drama;USA;Francis Ford Coppola;Al Pacino;https://www.imdb.com/title/tt0071562
4;The Dark Knight;2008;Drama;USA;Christopher Nolan;Christian Bale;https://www.imdb.com/title/tt0468569
5;12 Angry Men;1957;Drama;USA;Sidney Lumet;Henry Fonda;https://www.imdb.com/title/tt0050083
6;Schindler's List;1993;Drama;USA;Steven Spielberg;Liam Neeson;https://www.imdb.com/title/tt0108052
7;The Lord of the Rings: The Return of the King;2003;Fantasy;USA;Peter Jackson;Elijah Wood;https://www.imdb.com/title/tt0167260
8;Pulp Fiction;1994;Drama;USA;Quentin Tarantino;John Travolta;https://www.imdb.com/title/tt0110912
